OrderID,CustomerID,OrderDate,ProductCategory,ProductName,Quantity,UnitPrice,TotalOrderValue,SalesRep,OrderChannel,OrderPriority,ExpectedDeliveryDate,OrderStatus,CustomerName,Region,CustomerSegment,PaymentTerms,CreditLimit,DeliveryID,PlannedDeliveryDate,ActualDeliveryDate,DeliveryStatus,LogisticsPartner,ShippingCost,InvoiceID,InvoiceDate,InvoiceDueDate,TotalInvoiceAmount,InvoiceStatus,PaymentID,PaymentDate,PaymentAmount,PaymentMethod,DaysToPayFromInvoice,LateFeeApplied,DeliveryDelayDays,PaymentDelayDays,O2C_CycleTimeDays,InvoiceToPaymentDays,IsDeliveryLate,IsPaymentLate,OrderMonth,OrderQuarter,OrderYear,RiskScore,RiskCategory,TotalOrders,LatePaymentCount
SO-2024-001,C001,2024-01-05,Software,ERP Suite License,10,45000,450000,Arjun Mehta,Online,High,2024-01-20,Completed,Tata Consultancy Services,South Asia,Enterprise,Net30,5000000,DEL-001,2024-01-20,2024-01-22,Delivered,BlueDart,4500,INV-2024-001,2024-01-22,2024-02-21,531000,Paid,PAY-2024-001,2024-02-18,531000,NEFT,27,0,2,-3,44,27,Yes,No,2024-01,2024Q1,2024,0,Low Risk,2,0
SO-2024-002,C002,2024-01-08,Hardware,Server Rack Unit,5,120000,600000,Priya Sharma,Direct,High,2024-01-25,Completed,Infosys Limited,South Asia,Enterprise,Net45,4500000,DEL-002,2024-01-25,2024-01-24,Delivered,DTDC,6000,INV-2024-002,2024-01-24,2024-03-09,708000,Paid,PAY-2024-002,2024-03-20,708000,RTGS,56,7080,-1,11,72,56,No,Yes,2024-01,2024Q1,2024,2,Medium Risk,2,2
SO-2024-003,C003,2024-01-10,Software,Cloud Subscription,20,8000,160000,Rahul Gupta,Online,Medium,2024-01-28,Completed,Wipro Technologies,South Asia,Enterprise,Net30,3000000,DEL-003,2024-01-28,2024-02-02,Delivered,FedEx,2800,INV-2024-003,2024-02-02,2024-03-03,188800,Paid,PAY-2024-003,2024-03-01,188800,NEFT,28,0,5,-2,51,28,Yes,No,2024-01,2024Q1,2024,0,Low Risk,2,0
SO-2024-004,C004,2024-01-12,Hardware,Laptop Workstation,15,65000,975000,Sneha Patel,Direct,Medium,2024-02-01,Completed,HCL Technologies,North India,Mid-Market,Net60,2000000,DEL-004,2024-02-01,2024-02-05,Delivered,BlueDart,8500,INV-2024-004,2024-02-05,2024-04-05,1150500,Paid,PAY-2024-004,2024-04-08,1150500,RTGS,62,11505,4,3,87,63,Yes,Yes,2024-01,2024Q1,2024,2,Medium Risk,2,2
SO-2024-005,C005,2024-01-15,Services,IT Consulting,1,250000,250000,Vikram Singh,Phone,Low,2024-02-10,Completed,Tech Mahindra,West India,Mid-Market,Net30,1500000,DEL-005,2024-02-10,2024-02-10,Delivered,DTDC,3200,INV-2024-005,2024-02-10,2024-03-11,295000,Paid,PAY-2024-005,2024-03-09,295000,NEFT,28,0,0,-2,54,28,No,No,2024-01,2024Q1,2024,0,Low Risk,2,0
SO-2024-006,C006,2024-01-18,Hardware,Industrial Sensors,100,5500,550000,Anjali Desai,Direct,High,2024-02-05,Completed,Mahindra & Mahindra,West India,Enterprise,Net45,6000000,DEL-006,2024-02-05,2024-02-08,Delivered,FedEx,9800,INV-2024-006,2024-02-08,2024-03-24,649000,Paid,PAY-2024-006,2024-03-22,649000,RTGS,43,0,3,-2,64,43,Yes,No,2024-01,2024Q1,2024,0,Low Risk,2,1
SO-2024-007,C007,2024-01-20,Software,MES Software,3,95000,285000,Rohit Joshi,Online,Medium,2024-02-08,Completed,Bajaj Auto,West India,Mid-Market,Net30,2500000,DEL-007,2024-02-08,2024-02-09,Delivered,BlueDart,4100,INV-2024-007,2024-02-09,2024-03-10,336300,Paid,PAY-2024-007,2024-03-12,336300,NEFT,32,0,1,2,52,32,Yes,Yes,2024-01,2024Q1,2024,0,Low Risk,2,1
SO-2024-008,C008,2024-01-22,Services,Project Management,1,500000,500000,Neeraj Kumar,Direct,High,2024-02-15,Completed,Larsen & Toubro,West India,Enterprise,Net60,7000000,DEL-008,2024-02-15,2024-02-15,Delivered,DHL,12000,INV-2024-008,2024-02-15,2024-04-15,590000,Paid,PAY-2024-008,2024-04-20,590000,RTGS,64,5900,0,5,89,65,No,Yes,2024-01,2024Q1,2024,2,Medium Risk,2,2
SO-2024-009,C009,2024-01-25,Hardware,Color Mixing Machine,2,180000,360000,Deepika Rao,Phone,Low,2024-02-20,Completed,Asian Paints,West India,SMB,Net30,800000,DEL-009,2024-02-20,2024-02-28,Delivered,BlueDart,5500,INV-2024-009,2024-02-28,2024-03-29,424800,Paid,PAY-2024-009,2024-03-27,424800,NEFT,28,0,8,-2,62,28,Yes,No,2024-01,2024Q1,2024,0,Low Risk,2,0
SO-2024-010,C010,2024-01-28,Software,Inventory System,1,75000,75000,Aakash Verma,Online,Medium,2024-02-15,Completed,Godrej Industries,West India,Mid-Market,Net45,1200000,DEL-010,2024-02-15,2024-02-16,Delivered,DTDC,2200,INV-2024-010,2024-02-16,2024-03-17,88500,Paid,PAY-2024-010,2024-03-15,88500,NEFT,28,0,1,-2,47,28,Yes,No,2024-01,2024Q1,2024,0,Low Risk,2,0
SO-2024-011,C011,2024-02-01,Hardware,Lab Equipment,8,42000,336000,Meera Iyer,Direct,High,2024-02-20,Completed,Sun Pharmaceutical,West India,Enterprise,Net30,3500000,DEL-011,2024-02-20,2024-02-21,Delivered,FedEx,6800,INV-2024-011,2024-02-21,2024-03-22,396480,Paid,PAY-2024-011,2024-03-20,396480,NEFT,27,0,1,-2,48,28,Yes,No,2024-02,2024Q1,2024,0,Low Risk,2,0
SO-2024-012,C012,2024-02-03,Services,SAP Implementation,1,1200000,1200000,Suresh Nair,Direct,High,2024-03-01,Completed,Reliance Industries,West India,Enterprise,Net45,10000000,DEL-012,2024-03-01,2024-03-01,Delivered,DHL,18000,INV-2024-012,2024-03-01,2024-04-15,1416000,Paid,PAY-2024-012,2024-04-14,1416000,RTGS,44,0,0,-1,71,44,No,No,2024-02,2024Q1,2024,0,Low Risk,2,0
SO-2024-013,C013,2024-02-05,Software,Retail Analytics,5,35000,175000,Kavita Bose,Online,Medium,2024-02-25,Completed,ITC Limited,East India,Mid-Market,Net30,1800000,DEL-013,2024-02-25,2024-02-27,Delivered,BlueDart,4200,INV-2024-013,2024-02-27,2024-03-28,206500,Paid,PAY-2024-013,2024-03-30,206500,NEFT,32,0,2,2,54,32,Yes,Yes,2024-02,2024Q1,2024,0,Low Risk,2,1
SO-2024-014,C014,2024-02-08,Hardware,Packaging Machine,1,220000,220000,Manish Chauhan,Phone,Low,2024-03-05,Completed,Dabur India,North India,SMB,Net30,600000,DEL-014,2024-03-05,2024-03-12,Delivered,DTDC,7500,INV-2024-014,2024-03-12,2024-04-11,259600,Paid,PAY-2024-014,2024-04-09,259600,NEFT,28,0,7,-2,61,28,Yes,No,2024-02,2024Q1,2024,1,Medium Risk,2,0
SO-2024-015,C015,2024-02-10,Software,Supply Chain Suite,2,380000,760000,Pooja Menon,Direct,High,2024-03-01,Completed,Hindustan Unilever,West India,Enterprise,Net45,4000000,DEL-015,2024-03-01,2024-03-01,Delivered,DHL,11000,INV-2024-015,2024-03-01,2024-04-15,896800,Paid,PAY-2024-015,2024-04-18,896800,RTGS,48,0,0,3,68,48,No,Yes,2024-02,2024Q1,2024,2,Medium Risk,2,2
SO-2024-016,C016,2024-02-12,Hardware,Food Processing Unit,1,450000,450000,Rajesh Tiwari,Direct,High,2024-03-10,Completed,Nestle India,North India,Mid-Market,Net30,2200000,DEL-016,2024-03-10,2024-03-14,Delivered,FedEx,13500,INV-2024-016,2024-03-14,2024-04-13,531000,Paid,PAY-2024-016,2024-04-18,531000,RTGS,35,0,4,5,66,35,Yes,Yes,2024-02,2024Q1,2024,1,Medium Risk,2,1
SO-2024-017,C017,2024-02-15,Software,Dealer Management,50,12000,600000,Anita Sharma,Online,Medium,2024-03-05,Completed,Maruti Suzuki,North India,Enterprise,Net60,5500000,DEL-017,2024-03-05,2024-03-05,Delivered,BlueDart,5000,INV-2024-017,2024-03-05,2024-04-04,708000,Paid,PAY-2024-017,2024-04-05,708000,RTGS,31,0,0,1,50,31,No,Yes,2024-02,2024Q1,2024,0,Low Risk,2,1
SO-2024-018,C018,2024-02-18,Services,Training Program,1,180000,180000,Sanjay Mishra,Phone,Low,2024-03-10,Completed,Hero MotoCorp,North India,Mid-Market,Net30,1600000,DEL-018,2024-03-10,2024-03-10,Delivered,DTDC,3800,INV-2024-018,2024-03-10,2024-04-09,212400,Paid,PAY-2024-018,2024-04-08,212400,NEFT,29,0,0,-1,50,29,No,No,2024-02,2024Q1,2024,0,Low Risk,2,0
SO-2024-019,C019,2024-02-20,Hardware,Retail POS System,30,18000,540000,Lakshmi Reddy,Online,Medium,2024-03-15,Completed,Titan Company,South India,SMB,Net30,750000,DEL-019,2024-03-15,2024-03-18,Delivered,FedEx,9200,INV-2024-019,2024-03-18,2024-04-17,637200,Paid,PAY-2024-019,2024-04-20,637200,NEFT,33,0,3,3,60,33,Yes,Yes,2024-02,2024Q1,2024,1,Medium Risk,2,1
SO-2024-020,C020,2024-02-22,Software,Steel Production ERP,1,850000,850000,Bibhuti Das,Direct,High,2024-03-20,Completed,Tata Steel,East India,Enterprise,Net60,8000000,DEL-020,2024-03-20,2024-03-20,Delivered,DHL,15000,INV-2024-020,2024-03-20,2024-05-19,1003000,Paid,PAY-2024-020,2024-05-25,1003000,RTGS,66,10030,0,6,93,66,No,Yes,2024-02,2024Q1,2024,2,Medium Risk,2,2
SO-2024-021,C001,2024-03-01,Services,Support Contract,1,120000,120000,Arjun Mehta,Online,Low,2024-03-20,Completed,Tata Consultancy Services,South Asia,Enterprise,Net30,5000000,DEL-021,2024-03-20,2024-03-20,Delivered,BlueDart,3000,INV-2024-021,2024-03-20,2024-04-19,141600,Paid,PAY-2024-021,2024-04-17,141600,NEFT,28,0,0,-2,47,28,No,No,2024-03,2024Q1,2024,0,Low Risk,2,0
SO-2024-022,C003,2024-03-05,Hardware,Network Switch,20,28000,560000,Rahul Gupta,Direct,Medium,2024-03-25,Completed,Wipro Technologies,South Asia,Enterprise,Net30,3000000,DEL-022,2024-03-25,2024-03-28,Delivered,DTDC,7200,INV-2024-022,2024-03-28,2024-04-27,660800,Paid,PAY-2024-022,2024-04-25,660800,NEFT,28,0,3,-2,51,28,Yes,No,2024-03,2024Q1,2024,0,Low Risk,2,0
SO-2024-023,C006,2024-03-08,Software,Automation Suite,4,95000,380000,Anjali Desai,Online,High,2024-03-28,Completed,Mahindra & Mahindra,West India,Enterprise,Net45,6000000,DEL-023,2024-03-28,2024-03-29,Delivered,FedEx,8500,INV-2024-023,2024-03-29,2024-05-13,448400,Paid,PAY-2024-023,2024-05-15,448400,RTGS,47,0,1,2,68,47,Yes,Yes,2024-03,2024Q1,2024,0,Low Risk,2,1
SO-2024-024,C012,2024-03-10,Services,BI Implementation,1,750000,750000,Suresh Nair,Direct,High,2024-04-01,Completed,Reliance Industries,West India,Enterprise,Net45,10000000,DEL-024,2024-04-01,2024-04-01,Delivered,DHL,16000,INV-2024-024,2024-04-01,2024-05-16,885000,Paid,PAY-2024-024,2024-05-14,885000,RTGS,43,0,0,-2,65,43,No,No,2024-03,2024Q1,2024,0,Low Risk,2,0
SO-2024-025,C015,2024-03-12,Hardware,Barcode Scanners,200,3500,700000,Pooja Menon,Online,Medium,2024-04-01,Completed,Hindustan Unilever,West India,Enterprise,Net45,4000000,DEL-025,2024-04-01,2024-04-03,Delivered,BlueDart,6500,INV-2024-025,2024-04-03,2024-05-18,826000,Paid,PAY-2024-025,2024-05-20,826000,RTGS,47,0,2,2,69,47,Yes,Yes,2024-03,2024Q1,2024,2,Medium Risk,2,2
SO-2024-026,C008,2024-03-15,Software,Project Suite,1,320000,320000,Neeraj Kumar,Direct,High,2024-04-05,Completed,Larsen & Toubro,West India,Enterprise,Net60,7000000,DEL-026,2024-04-05,2024-04-05,Delivered,DHL,11500,INV-2024-026,2024-04-05,2024-06-04,377600,Paid,PAY-2024-026,2024-06-08,377600,RTGS,64,3776,0,4,85,64,No,Yes,2024-03,2024Q1,2024,2,Medium Risk,2,2
SO-2024-027,C002,2024-03-18,Hardware,Storage Array,3,185000,555000,Priya Sharma,Direct,High,2024-04-08,Completed,Infosys Limited,South Asia,Enterprise,Net45,4500000,DEL-027,2024-04-08,2024-04-11,Delivered,FedEx,10500,INV-2024-027,2024-04-11,2024-05-26,654900,Paid,PAY-2024-027,2024-05-28,654900,RTGS,47,0,3,2,71,47,Yes,Yes,2024-03,2024Q1,2024,2,Medium Risk,2,2
SO-2024-028,C017,2024-03-20,Services,Audit Consulting,1,200000,200000,Anita Sharma,Phone,Low,2024-04-15,Completed,Maruti Suzuki,North India,Enterprise,Net60,5500000,DEL-028,2024-04-15,2024-04-15,Delivered,BlueDart,4500,INV-2024-028,2024-04-15,2024-05-15,236000,Paid,PAY-2024-028,2024-05-14,236000,RTGS,29,0,0,-1,55,29,No,No,2024-03,2024Q1,2024,0,Low Risk,2,1
SO-2024-029,C011,2024-03-22,Software,Lab Management,2,65000,130000,Meera Iyer,Online,Medium,2024-04-10,Completed,Sun Pharmaceutical,West India,Enterprise,Net30,3500000,DEL-029,2024-04-10,2024-04-12,Delivered,DTDC,4800,INV-2024-029,2024-04-12,2024-05-12,153400,Paid,PAY-2024-029,2024-05-10,153400,NEFT,28,0,2,-2,49,28,Yes,No,2024-03,2024Q1,2024,0,Low Risk,2,0
SO-2024-030,C020,2024-03-25,Hardware,Rolling Mill Sensors,50,9500,475000,Bibhuti Das,Direct,High,2024-04-15,Completed,Tata Steel,East India,Enterprise,Net60,8000000,DEL-030,2024-04-15,2024-04-16,Delivered,DHL,13200,INV-2024-030,2024-04-16,2024-06-15,560500,Paid,PAY-2024-030,2024-06-18,560500,RTGS,63,5605,1,3,85,63,Yes,Yes,2024-03,2024Q1,2024,2,Medium Risk,2,2
SO-2024-031,C004,2024-04-02,Software,HRMS,1,185000,185000,Sneha Patel,Online,Medium,2024-04-22,Completed,HCL Technologies,North India,Mid-Market,Net60,2000000,DEL-031,2024-04-22,2024-04-22,Delivered,BlueDart,4200,INV-2024-031,2024-04-22,2024-06-21,218300,Paid,PAY-2024-031,2024-06-25,218300,RTGS,64,2183,0,4,84,64,No,Yes,2024-04,2024Q2,2024,2,Medium Risk,2,2
SO-2024-032,C007,2024-04-05,Hardware,CNC Machine Parts,25,14500,362500,Rohit Joshi,Direct,Medium,2024-04-25,Completed,Bajaj Auto,West India,Mid-Market,Net30,2500000,DEL-032,2024-04-25,2024-04-30,Delivered,DTDC,5800,INV-2024-032,2024-04-30,2024-05-30,427750,Paid,PAY-2024-032,2024-05-28,427750,NEFT,28,0,5,-2,53,28,Yes,No,2024-04,2024Q2,2024,0,Low Risk,2,1
SO-2024-033,C009,2024-04-08,Software,Paint Formulation,1,95000,95000,Deepika Rao,Online,Low,2024-04-28,Completed,Asian Paints,West India,SMB,Net30,800000,DEL-033,2024-04-28,2024-04-29,Delivered,FedEx,3500,INV-2024-033,2024-04-29,2024-05-29,112100,Paid,PAY-2024-033,2024-05-27,112100,NEFT,28,0,1,-2,49,28,Yes,No,2024-04,2024Q2,2024,0,Low Risk,2,0
SO-2024-034,C013,2024-04-10,Services,Store Audit,1,85000,85000,Kavita Bose,Phone,Low,2024-04-30,Completed,ITC Limited,East India,Mid-Market,Net30,1800000,DEL-034,2024-04-30,2024-04-30,Delivered,BlueDart,2800,INV-2024-034,2024-04-30,2024-05-30,100300,Paid,PAY-2024-034,2024-05-28,100300,NEFT,28,0,0,-2,48,28,No,No,2024-04,2024Q2,2024,0,Low Risk,2,1
SO-2024-035,C016,2024-04-12,Hardware,Conveyor Belt,2,125000,250000,Rajesh Tiwari,Direct,Medium,2024-05-05,Completed,Nestle India,North India,Mid-Market,Net30,2200000,DEL-035,2024-05-05,2024-05-08,Delivered,DTDC,6200,INV-2024-035,2024-05-08,2024-06-07,295000,Paid,PAY-2024-035,2024-06-05,295000,RTGS,28,0,3,-2,54,28,Yes,No,2024-04,2024Q2,2024,1,Medium Risk,2,1
SO-2024-036,C005,2024-04-15,Software,Telecom Analytics,3,75000,225000,Vikram Singh,Online,Medium,2024-05-05,Completed,Tech Mahindra,West India,Mid-Market,Net30,1500000,DEL-036,2024-05-05,2024-05-05,Delivered,FedEx,4800,INV-2024-036,2024-05-05,2024-06-04,265500,Paid,PAY-2024-036,2024-06-02,265500,NEFT,28,0,0,-2,48,28,No,No,2024-04,2024Q2,2024,0,Low Risk,2,0
